product_id,name,category,price,quantity
67-546-1568,Peanut Oil,Oils & Fats,4.00,57
67-625-9704,Sardines,Seafood,6.00,33
31-969-4614,Arabica Coffee,Beverages,20.00,62
50-364-5828,Coconut,Fruits & Vegetables,5.00,89
61-827-4098,Cod,Seafood,8.00,23
87-698-0944,Banana,Fruits & Vegetables,98.43,56
36-636-4873,Black Rice,Grains & Pulses,6.10,86
98-556-5323,Pomegranate,Fruits & Vegetables,6.00,60
97-772-2336,Pineapple,Fruits & Vegetables,3.50,70
19-047-4239,Peach,Fruits & Vegetables,4.00,47
41-316-8427,Arborio Rice,Grains & Pulses,4.50,95
15-907-3681,Plum,Fruits & Vegetables,3.85,20
14-305-9690,Sushi Rice,Grains & Pulses,4.30,19
40-860-4532,Arabica Coffee,Beverages,21.00,74
44-552-3909,Pear,Fruits & Vegetables,4.50,61
75-029-9003,Sourdough Bread,Bakery,4.00,34
74-587-2065,Pear,Fruits & Vegetables,4.50,29
70-149-6756,Heavy Cream,Dairy,4.20,14
29-896-7926,White Rice,Grains & Pulses,1.80,20
54-822-9009,Cauliflower,Grains & Pulses,3.20,40
84-075-7647,Canola Oil,Oils & Fats,2.30,91
88-602-8210,Avocado Oil,Oils & Fats,10.00,99
04-542-3863,Bread Flour,Grains & Pulses,1.50,34
57-613-5779,Gouda Cheese,Dairy,7.00,100
90-737-0044,Black Rice,Grains & Pulses,6.00,79
28-956-1320,Greek Yogurt,Dairy,3.00,62
87-791-5803,Tuna,Seafood,18.00,25
14-521-4167,Buttermilk,Dairy,2.50,47
51-572-5497,Orange,Fruits & Vegetables,3.00,15
28-840-6096,Pomegranate,Fruits & Vegetables,6.00,19
44-538-3366,Tuna,Seafood,18.00,58
51-459-5630,Sour Cream,Dairy,4.00,11
02-655-3240,Rice Flour,Grains & Pulses,2.00,99
42-887-6557,Long Grain Rice,Grains & Pulses,1.50,26
96-316-7600,Bell Pepper,Fruits & Vegetables,4.50,70
58-063-8633,Bell Pepper,Fruits & Vegetables,4.50,50
43-703-9939,Pineapple,Fruits & Vegetables,3.50,55
88-069-5486,Cod,Seafood,8.00,31
74-845-3299,Green Tea,Beverages,8.00,63
81-605-6246,Sardines,Seafood,6.00,73
73-561-2867,Sourdough Bread,Bakery,4.00,12
19-967-0632,Short Grain Rice,Grains & Pulses,3.00,53
23-070-2433,Powdered Sugar,Grains & Pulses,2.50,68
27-262-2437,Swiss Cheese,Dairy,8.10,80
39-479-5147,Tuna,Seafood,18.00,92
71-085-4290,Cucumber,Fruits & Vegetables,1.80,31
48-957-6116,Eggplant,Fruits & Vegetables,3.00,31
83-917-7384,Garlic,Fruits & Vegetables,7.00,76
26-031-8070,Vegetable Oil,Oils & Fats,2.00,57
03-149-9760,Whipped Cream,Dairy,4.00,92
53-680-5293,Cheddar Cheese,Dairy,9.00,88
49-861-7823,Coconut,Fruits & Vegetables,5.00,99
24-364-3341,Egg (Turkey),Dairy,2.50,44
80-374-5711,Herbal Tea,Beverages,31.00,48
76-325-9093,Sesame Oil,Oils & Fats,6.50,27
30-429-2162,Black Rice,Grains & Pulses,6.15,34
53-446-8243,Orange,Fruits & Vegetables,3.00,41
67-473-7093,Black Tea,Beverages,5.00,56
98-235-2711,Asparagus,Fruits & Vegetables,5.00,22
07-219-8017,Palm Oil,Oils & Fats,1.80,40
97-040-3822,Swiss Cheese,Dairy,8.00,50
10-002-6494,Mango,Fruits & Vegetables,4.80,89
12-998-3882,Egg (Turkey),Dairy,2.50,76
31-746-4951,Whole Wheat Flour,Grains & Pulses,2.75,67
87-097-5691,Robusta Coffee,Beverages,10.00,62
34-075-0371,Watermelon,Fruits & Vegetables,3.00,75
40-810-9261,Green Coffee,Beverages,12.50,75
46-931-6897,Cream,Dairy,2.50,29
58-182-6781,Oatmeal Biscuit,Bakery,5.00,34
06-706-6490,Green Tea,Beverages,8.00,15
47-578-4161,Anchovies,Seafood,10.00,88
18-199-5799,Cheddar Cheese,Dairy,9.00,40
00-357-2313,Avocado Oil,Oils & Fats,10.00,10
83-704-6367,Arabica Coffee,Beverages,21.00,21
01-144-5960,Trout,Seafood,12.00,75
96-774-0457,Cod,Seafood,8.00,56
24-310-9184,Rye Bread,Bakery,3.00,69
10-255-8579,Basmati Rice,Grains & Pulses,4.50,56
38-417-4656,White Sugar,Grains & Pulses,2.00,24
53-080-8252,Sourdough Bread,Bakery,4.50,30
14-681-7035,White Tea,Beverages,25.00,36
96-503-7712,White Bread,Bakery,2.50,93
98-064-4465,Mozzarella Cheese,Dairy,7.00,96
84-198-7276,Peanut Oil,Oils & Fats,4.00,60
18-278-2383,Gouda Cheese,Dairy,7.00,97
20-054-3716,Chocolate Biscuit,Bakery,5.00,11
63-822-5278,Pomegranate,Fruits & Vegetables,6.00,14
01-439-6231,Sunflower Oil,Oils & Fats,2.50,88
06-690-2335,Jasmine Rice,Grains & Pulses,4.75,24
47-554-5780,Haddock,Seafood,9.00,93
70-587-1204,Black Rice,Grains & Pulses,6.00,68
97-710-2449,Rye Bread,Bakery,2.80,28
51-462-0747,Lime,Fruits & Vegetables,2.00,21
90-492-0564,Pomegranate,Fruits & Vegetables,6.00,92
63-956-0739,Robusta Coffee,Beverages,10.00,68
30-832-5429,Multigrain Bread,Bakery,3.50,46
38-822-8005,Cucumber,Fruits & Vegetables,1.75,47
73-118-1117,Olive Oil,Oils & Fats,6.00,52
60-285-3783,Mushrooms,Fruits & Vegetables,6.00,51
00-215-7434,Egg (Goose),Dairy,2.50,14
68-734-1585,Greek Yogurt,Fruits & Vegetables,51.17,62
08-703-1382,Peach,Fruits & Vegetables,4.00,40
65-282-0419,White Tea,Beverages,25.50,50
62-777-6010,Sushi Rice,Grains & Pulses,4.25,77
87-675-1506,Strawberries,Fruits & Vegetables,5.90,31
67-027-7269,Mushrooms,Fruits & Vegetables,6.50,35
72-066-4597,Broccoli,Fruits & Vegetables,4.00,31
31-627-6025,White Bread,Bakery,2.50,56
09-286-8107,Greek Yogurt,Dairy,3.00,90
77-013-1553,Canola Oil,Oils & Fats,2.30,79
15-762-1058,Lime,Fruits & Vegetables,2.00,29
48-193-1199,Canola Oil,Oils & Fats,2.30,46
01-173-0029,Blueberries,Fruits & Vegetables,10.00,42
79-400-6216,Mozzarella Cheese,Dairy,7.20,16
80-072-8774,Tuna,Seafood,18.00,89
78-689-8958,White Tea,Beverages,25.00,20
57-562-2358,Black Coffee,Beverages,15.00,37
56-191-6497,Bread Flour,Grains & Pulses,1.50,97
46-753-8430,Feta Cheese,Dairy,7.00,98
48-461-3742,Kiwi,Fruits & Vegetables,6.00,37
16-354-8122,Digestive Biscuit,Bakery,4.00,97
76-954-1442,Arabica Coffee,Beverages,20.00,97
44-476-0390,Lemon,Fruits & Vegetables,2.50,90
35-617-3857,Arabica Coffee,Beverages,20.00,46
94-029-2717,Broccoli,Fruits & Vegetables,4.00,40
49-526-7806,Kale,Fruits & Vegetables,4.00,77
99-137-1730,Bread Flour,Grains & Pulses,1.50,62
27-442-3654,Herbal Tea,Beverages,30.00,59
32-933-0329,Blueberries,Fruits & Vegetables,10.00,23
93-813-2419,Digestive Biscuit,Bakery,4.00,39
85-440-3667,Gouda Cheese,Dairy,7.00,68
77-224-2227,Almond Flour,Grains & Pulses,9.50,75
60-632-8752,Chocolate Biscuit,Bakery,5.00,96
99-561-4871,Haddock,Seafood,9.00,17
61-607-7622,Egg (Duck),Dairy,1.00,23
11-745-3025,Peach,Fruits & Vegetables,4.00,15
56-810-0550,Mackerel,Seafood,7.50,71
59-075-2457,Egg (Goose),Dairy,2.50,97
40-021-2400,Zucchini,Fruits & Vegetables,2.50,29
29-017-6255,Bell Pepper,Fruits & Vegetables,4.60,46
92-291-7089,Cheese,Dairy,9.50,76
69-287-9113,Zucchini,Fruits & Vegetables,2.50,59
76-540-6407,Orange,Fruits & Vegetables,3.10,92
85-561-4694,Kiwi,Fruits & Vegetables,6.00,28
34-928-2775,Coconut,Fruits & Vegetables,5.00,19
90-773-9557,Butter,Dairy,3.00,85
57-394-1587,Bread Flour,Grains & Pulses,1.50,57
28-008-2951,Broccoli,Fruits & Vegetables,4.00,95
74-711-7160,Sushi Rice,Grains & Pulses,4.50,84
22-895-6595,Rice Flour,Grains & Pulses,2.00,31
19-214-5762,Pear,Fruits & Vegetables,4.50,41
95-349-0828,Feta Cheese,Dairy,7.00,97
00-963-2193,Milk,Dairy,1.00,43
76-459-2392,Palm Oil,Oils & Fats,1.80,74
10-034-7654,Bread Flour,Grains & Pulses,1.50,70
24-972-6969,Cheese,Dairy,9.20,69
94-190-5193,Carrot,Fruits & Vegetables,1.50,67
92-791-0606,Short Grain Rice,Grains & Pulses,3.00,18
84-629-1532,Arabica Coffee,Beverages,21.00,22
68-977-2498,Grapes,Fruits & Vegetables,5.50,88
91-257-3672,Tilapia,Seafood,7.00,78
09-536-2626,Olive Oil,Oils & Fats,6.00,83
61-801-8665,Robusta Coffee,Beverages,10.50,42
38-296-6634,Peas,Fruits & Vegetables,3.00,49
30-591-7275,Brown Rice,Grains & Pulses,2.50,17
83-763-5038,Buttermilk,Dairy,2.40,52
37-709-3532,Mushrooms,Fruits & Vegetables,6.00,79
62-795-7801,Palm Oil,Oils & Fats,1.80,35
98-575-4736,Cucumber,Fruits & Vegetables,1.80,76
57-861-4379,Swiss Cheese,Dairy,8.00,93
00-119-8780,Halibut,Seafood,20.00,40
28-824-9017,Trout,Seafood,11.50,19
56-668-5370,Vegetable Oil,Oils & Fats,2.00,70
29-756-7042,Digestive Biscuit,Bakery,4.00,90
41-538-3129,Digestive Biscuit,Bakery,4.00,77
16-380-0753,Apricot,Fruits & Vegetables,5.00,38
26-535-4727,Tilapia,Seafood,7.00,93
59-857-6577,Evaporated Milk,Dairy,2.00,23
14-550-2152,Green Tea,Beverages,7.60,51
39-315-3936,Heavy Cream,Dairy,4.00,57
87-199-2743,Papaya,Fruits & Vegetables,4.50,59
60-771-0879,Blueberries,Fruits & Vegetables,10.00,89
00-440-9568,Blueberries,Fruits & Vegetables,10.00,53
07-074-1196,Plum,Fruits & Vegetables,3.90,11
69-674-5387,Yogurt,Dairy,1.75,59
08-940-8578,Onion,Fruits & Vegetables,2.00,34
94-020-6982,Tuna,Seafood,18.00,25
42-879-9478,Anchovies,Seafood,10.00,81
00-405-7428,Apple,Fruits & Vegetables,3.50,81
87-997-0228,Watermelon,Fruits & Vegetables,3.00,71
05-498-7751,Cauliflower,Fruits & Vegetables,2.50,52
55-631-7937,Greek Yogurt,Dairy,3.00,26
27-389-3529,Haddock,Seafood,9.00,84
84-272-0790,Blueberries,Fruits & Vegetables,10.00,28
01-903-5373,Strawberries,Fruits & Vegetables,6.00,94
49-311-3063,Kiwi,Fruits & Vegetables,6.00,47
04-277-5245,Coconut Sugar,Grains & Pulses,5.00,20
04-453-5485,Tomato,Fruits & Vegetables,2.50,84
42-141-5718,Cheese,Dairy,9.00,100
89-602-6755,Milk,Dairy,1.00,74
15-045-8444,Green Coffee,Beverages,12.00,27
15-240-6267,Eggplant,Fruits & Vegetables,3.00,91
05-193-8096,Grapes,Fruits & Vegetables,5.50,82
93-342-8794,Bread Flour,Grains & Pulses,1.50,84
83-716-2177,Halibut,Seafood,20.00,18
56-635-6764,Sourdough Bread,Bakery,4.50,12
10-249-7928,Black Rice,Grains & Pulses,6.50,85
65-759-3721,Butter Biscuit,Bakery,6.00,33
08-725-8156,Tilapia,Seafood,7.00,59
15-679-3935,Grapes,Fruits & Vegetables,5.50,22
81-578-7404,Gouda Cheese,Dairy,7.00,67
82-380-5378,Cheese,Dairy,9.00,78
78-362-8578,Lemon,Fruits & Vegetables,2.45,72
32-261-0008,Heavy Cream,Dairy,4.00,63
74-943-9034,White Bread,Bakery,2.50,30
86-330-0214,Arabica Coffee,Beverages,20.00,36
80-334-0215,Grapes,Fruits & Vegetables,5.50,88
48-957-8596,Banana,Fruits & Vegetables,53.82,95
37-246-0018,Broccoli,Fruits & Vegetables,4.00,30
17-002-4721,Green Beans,Fruits & Vegetables,2.00,31
47-802-5023,Cod,Seafood,8.00,16
22-319-1377,White Sugar,Grains & Pulses,2.00,14
57-903-6434,Tomato,Fruits & Vegetables,2.50,44
22-083-3347,Long Grain Rice,Grains & Pulses,1.50,69
65-145-9672,Long Grain Rice,Grains & Pulses,1.50,71
95-252-9619,Carrot,Fruits & Vegetables,1.60,92
74-294-3760,Peanut Oil,Oils & Fats,4.00,49
06-797-4963,Pomegranate,Fruits & Vegetables,6.00,52
39-768-8205,Egg (Turkey),Dairy,2.50,56
03-043-9933,Strawberries,Fruits & Vegetables,6.10,16
29-823-6004,Zucchini,Fruits & Vegetables,2.50,52
40-462-2952,Trout,Seafood,11.50,91
71-999-2404,Mango,Fruits & Vegetables,4.70,58
03-919-9890,Halibut,Seafood,20.00,47
94-525-6925,Rye Bread,Bakery,3.00,50
08-213-2058,Sour Cream,Dairy,4.00,43
51-312-8608,Cheddar Cheese,Dairy,8.90,68
67-512-9754,Egg (Turkey),Dairy,2.50,19
45-402-0421,Swiss Cheese,Dairy,8.00,70
85-207-4164,Eggplant,Fruits & Vegetables,3.00,97
72-780-6006,Sunflower Oil,Oils & Fats,2.50,87
93-166-3169,White Tea,Beverages,25.00,58
21-718-6746,Coconut,Fruits & Vegetables,5.00,16
93-966-7754,Pineapple,Fruits & Vegetables,3.50,65
47-663-5703,Basmati Rice,Grains & Pulses,4.50,15
34-110-1040,Bell Pepper,Fruits & Vegetables,4.50,75
82-342-7339,Vanilla Biscuit,Bakery,5.50,80
43-670-8544,Orange,Fruits & Vegetables,2.85,84
12-439-8428,Eggplant,Fruits & Vegetables,3.00,17
49-919-8798,Evaporated Milk,Dairy,1.90,64
73-567-6194,Whipped Cream,Dairy,4.00,76
83-573-4586,Sesame Oil,Oils & Fats,6.50,77
12-798-9401,Cream,Dairy,2.50,18
02-895-7781,Coconut Sugar,Grains & Pulses,5.00,51
83-625-3618,Asparagus,Fruits & Vegetables,5.00,68
89-181-4523,Wild Rice,Grains & Pulses,10.00,46
95-354-8583,Long Grain Rice,Grains & Pulses,1.50,98
90-303-1821,Onion,Fruits & Vegetables,2.00,50
71-631-5875,Salmon,Seafood,15.00,88
02-275-6061,Potato,Fruits & Vegetables,1.20,26
04-001-1793,Green Coffee,Beverages,12.00,43
47-749-3277,Powdered Sugar,Grains & Pulses,2.50,46
37-666-3902,Cauliflower,Fruits & Vegetables,2.45,19
73-942-0508,Kale,Fruits & Vegetables,4.00,61
57-359-3397,Garlic,Fruits & Vegetables,7.00,43
46-436-5351,Green Tea,Beverages,8.50,80
27-881-1177,Green Tea,Beverages,8.00,34
85-237-3505,Green Tea,Beverages,8.00,88
80-371-3695,Cottage Cheese,Dairy,5.00,89
04-758-0410,Wild Rice,Grains & Pulses,10.00,26
65-644-1394,Pear,Fruits & Vegetables,4.50,26
04-293-6969,Peach,Fruits & Vegetables,4.00,37
40-997-2786,Yogurt,Dairy,1.75,76
91-553-1774,Feta Cheese,Dairy,7.00,80
13-980-8804,Sweet Potato,Fruits & Vegetables,2.00,100
19-672-8982,Butter,Dairy,3.10,21
35-299-0889,Coconut Oil,Oils & Fats,5.00,33
17-022-9721,Apple,Fruits & Vegetables,3.50,43
22-849-2551,Mushrooms,Fruits & Vegetables,6.20,34
53-050-8242,Mackerel,Seafood,7.50,82
88-183-5781,Whole Wheat Bread,Bakery,3.50,17
09-101-1740,Sushi Rice,Grains & Pulses,4.75,36
98-445-7372,Cod,Seafood,8.00,65
29-875-6900,Papaya,Fruits & Vegetables,4.50,45
27-757-4489,Egg (Goose),Dairy,2.50,35
51-069-0489,Bread Flour,Grains & Pulses,1.50,96
20-325-1965,Coconut,Fruits & Vegetables,5.00,56
76-090-4411,Ricotta Cheese,Dairy,6.00,49
01-703-8441,Raw Sugar,Grains & Pulses,1.50,100
09-622-7119,Haddock,Seafood,9.00,30
45-172-7012,Papaya,Fruits & Vegetables,4.50,20
06-849-4869,Sesame Oil,Oils & Fats,6.50,85
30-996-2526,Green Beans,Fruits & Vegetables,2.10,86
71-074-6292,Sourdough Bread,Bakery,4.00,65
98-909-9395,Cottage Cheese,Dairy,5.00,67
61-796-6540,Ricotta Cheese,Dairy,6.00,88
41-735-9837,Robusta Coffee,Beverages,10.00,14
60-343-3288,Tilapia,Seafood,6.70,85
27-783-5470,Feta Cheese,Dairy,7.00,74
60-456-8169,Cheddar Cheese,Dairy,9.00,21
99-420-3592,Butter Biscuit,Bakery,6.00,22
35-836-6718,Ricotta Cheese,Dairy,6.00,91
51-273-4240,Multigrain Bread,Bakery,3.50,85
38-924-3007,Peas,Fruits & Vegetables,3.00,12
52-123-8039,Pomegranate,Fruits & Vegetables,6.00,43
34-131-8805,Yogurt,Dairy,1.75,92
28-505-8317,Watermelon,Fruits & Vegetables,3.00,23
41-594-5069,Egg (Duck),Dairy,1.00,77
94-658-4945,Sweet Potato,Fruits & Vegetables,2.00,65
69-561-2496,Banana,Fruits & Vegetables,15.31,82
98-858-6323,Swiss Cheese,Dairy,8.00,20
92-995-8689,Cheddar Cheese,Dairy,9.00,31
43-164-5984,Butter,Dairy,2.90,36
58-122-2282,Black Tea,Beverages,5.00,59
84-269-9130,Long Grain Rice,Grains & Pulses,1.50,11
11-922-3342,Black Coffee,Beverages,15.50,24
60-550-4771,Haddock,Seafood,9.00,75
88-951-9038,Black Coffee,Beverages,15.00,11
08-114-3922,Anchovies,Seafood,10.00,60
70-145-2550,Lemon,Fruits & Vegetables,2.40,91
51-761-6320,Egg (Goose),Dairy,2.50,43
55-803-3964,Bread Flour,Grains & Pulses,1.50,25
11-815-7923,Parmesan Cheese,Dairy,11.80,96
83-966-3280,Mackerel,Seafood,7.50,30
29-592-7315,Arborio Rice,Grains & Pulses,4.50,56
65-235-7676,Whole Wheat Bread,Bakery,3.50,91
40-683-0283,White Sugar,Grains & Pulses,2.00,27
83-553-9523,Buttermilk,Dairy,2.45,28
40-793-7235,Sour Cream,Dairy,4.00,92
74-666-5671,Tuna,Seafood,18.00,37
90-865-9150,Powdered Sugar,Grains & Pulses,2.50,28
46-255-3073,Tilapia,Seafood,7.00,30
11-155-7826,Arabica Coffee,Beverages,20.00,98
99-543-5039,Lemon,Fruits & Vegetables,2.50,65
99-033-5661,Rice Flour,Grains & Pulses,2.00,42
28-608-0039,Lemon,Fruits & Vegetables,2.50,63
35-529-2933,Broccoli,Fruits & Vegetables,4.00,85
83-321-7887,Egg (Duck),Dairy,1.00,44
43-910-2342,Plum,Fruits & Vegetables,4.00,26
21-633-8696,Coconut Sugar,Grains & Pulses,5.00,49
76-401-7083,Pomegranate,Fruits & Vegetables,6.00,59
92-551-8504,Raw Sugar,Grains & Pulses,1.50,19
76-264-0748,Eggplant,Fruits & Vegetables,3.00,47
88-586-8797,Grapes,Fruits & Vegetables,5.50,98
21-993-5632,Watermelon,Fruits & Vegetables,3.00,51
27-681-5588,Anchovies,Seafood,10.00,100
23-265-8144,Yogurt,Dairy,1.70,55
26-134-9069,Whipped Cream,Dairy,4.00,14
76-623-7844,Egg (Quail),Dairy,0.80,29
88-977-0175,Chocolate Biscuit,Bakery,5.00,100
12-714-5135,Ricotta Cheese,Dairy,6.00,49
43-153-8268,Vegetable Oil,Oils & Fats,2.00,75
95-130-9020,Heavy Cream,Dairy,4.10,82
82-678-8097,Cottage Cheese,Dairy,4.80,68
21-693-8216,Corn Oil,Oils & Fats,2.50,70
56-831-6199,Salmon,Seafood,15.00,49
81-268-5905,Mackerel,Seafood,7.50,89
41-237-5498,Cheese,Dairy,9.00,88
32-987-5559,Green Tea,Beverages,8.00,39
71-436-5841,Cauliflower,Fruits & Vegetables,2.50,87
63-890-1246,Oatmeal Biscuit,Bakery,5.00,93
65-368-2479,Egg (Turkey),Dairy,2.40,23
74-562-7431,Vanilla Biscuit,Bakery,5.50,94
51-583-6029,Digestive Biscuit,Bakery,4.00,38
06-996-3221,Evaporated Milk,Dairy,2.00,11
96-334-2593,White Tea,Beverages,25.30,60
58-219-0241,Avocado Oil,Oils & Fats,10.00,50
87-272-6544,Egg (Goose),Dairy,2.50,90
95-357-2870,Arborio Rice,Grains & Pulses,4.50,86
88-401-3700,Cauliflower,Fruits & Vegetables,2.50,86
72-404-5581,Almond Flour,Grains & Pulses,9.50,54
11-766-8738,Watermelon,Fruits & Vegetables,3.00,27
15-796-3130,Rye Bread,Bakery,3.00,50
73-751-4393,Onion,Fruits & Vegetables,2.00,68
62-100-2245,Sourdough Bread,Bakery,4.20,22
08-961-3009,Cheese,Dairy,9.20,50
33-440-2588,Bell Pepper,Fruits & Vegetables,4.40,26
24-009-1208,White Tea,Beverages,25.00,62
71-300-2191,Broccoli,Fruits & Vegetables,4.00,79
74-430-8245,Peach,Fruits & Vegetables,4.00,73
68-636-4774,Carrot,Fruits & Vegetables,1.45,18
38-655-2312,Kale,Fruits & Vegetables,4.00,79
16-632-1308,Arabica Coffee,Beverages,20.00,23
37-606-0510,Milk,Dairy,1.00,18
36-296-9609,Sunflower Oil,Oils & Fats,2.50,24
22-329-7791,Watermelon,Fruits & Vegetables,3.00,53
56-894-3733,Yogurt,Dairy,1.75,85
06-858-5680,Sesame Oil,Oils & Fats,6.50,15
71-954-4501,Anchovies,Seafood,10.00,66
12-046-2988,Corn Oil,Oils & Fats,2.50,17
95-356-1566,Grapes,Fruits & Vegetables,5.50,13
34-291-4939,Digestive Biscuit,Bakery,4.00,34
35-621-2546,Swiss Cheese,Dairy,8.00,85
21-013-3508,Cabbage,Fruits & Vegetables,1.00,12
38-049-9319,Oatmeal Biscuit,Bakery,5.00,82
94-697-2396,Sourdough Bread,Bakery,4.00,71
33-807-7247,Mozzarella Cheese,Dairy,7.00,58
62-816-8794,Rice Flour,Grains & Pulses,2.00,15
